Frame,Object Name,X1,Y1,X2,Y2
158,remote,261,493,301,552
158,chair,-1,373,340,851
159,person,77,351,446,850
159,remote,262,494,302,551
159,chair,-1,373,334,851
159,couch,0,376,377,851
160,person,77,350,446,851
160,remote,263,495,303,552
160,couch,0,376,411,851
160,chair,0,373,360,851
161,person,75,349,443,850
161,remote,264,495,304,552
161,couch,0,377,424,851
161,chair,0,373,371,851
162,person,74,350,446,850
162,remote,264,496,302,552
162,couch,0,377,402,851
162,chair,0,373,340,851
163,person,71,352,445,850
163,remote,270,496,302,551
163,couch,-1,378,391,851
163,chair,-1,374,337,851
164,person,68,351,440,850
164,remote,270,496,302,552
164,chair,-1,374,341,851
164,couch,0,378,383,851
165,person,65,349,436,850
165,remote,270,496,299,551
165,couch,0,379,373,852
165,chair,-1,375,338,851
166,person,60,342,444,849
166,remote,266,495,296,552
166,chair,-1,378,336,851
167,person,60,340,439,850
167,remote,265,495,293,549
167,couch,0,381,364,852
167,hair drier,314,334,435,503
167,chair,-1,378,333,851
168,person,57,330,437,850
168,remote,261,494,292,552
168,hair drier,310,324,417,497
168,couch,-1,382,382,851
168,chair,-1,380,336,851
169,person,53,320,438,850
169,remote,258,491,292,551
169,couch,-1,383,360,852
169,hair drier,306,315,414,490
169,chair,0,381,337,851
170,person,49,306,437,850
170,remote,256,490,291,547
170,chair,-1,382,338,851
170,couch,-1,383,366,852
170,hair drier,301,305,419,481
171,person,45,294,440,850
171,remote,254,489,290,544
171,couch,-1,382,346,851
171,chair,0,384,334,851
171,hair drier,296,296,416,472
172,person,43,287,439,850
172,remote,251,487,288,543
172,couch,-1,382,368,851
173,person,46,277,436,849
173,remote,249,484,288,540
173,couch,-1,382,400,851
173,hair drier,285,277,405,448
174,person,45,269,438,849
174,remote,247,482,289,538
174,hair drier,280,269,401,437
174,couch,-1,383,392,852
175,person,43,262,440,849
175,remote,245,480,289,535
175,hair drier,275,285,401,425
175,couch,-1,383,441,851
175,chair,0,383,444,851
176,person,43,255,446,849
176,remote,244,478,289,531
176,hair drier,270,288,403,413
176,chair,0,387,445,851
176,couch,-1,384,417,851
177,person,42,249,448,851
177,remote,243,475,290,531
177,chair,0,385,448,851
177,hair drier,263,295,402,403
177,couch,0,384,446,851
178,person,39,245,452,850
178,remote,242,471,291,530
178,chair,0,385,450,851
178,couch,0,385,447,851
179,person,42,242,456,851
179,remote,241,468,291,528
179,chair,0,390,453,851
179,couch,0,387,447,851
180,person,43,237,455,851
180,remote,239,463,291,520
180,chair,0,390,452,851
180,couch,0,390,450,851
181,person,42,233,450,851
181,remote,237,457,289,518
181,chair,0,400,455,851
181,couch,0,399,455,851
182,person,41,230,457,850
182,remote,233,453,287,513
182,chair,0,405,457,851
182,couch,0,403,454,851
182,person,461,433,479,482
183,person,41,228,454,850
183,remote,229,447,284,507
183,person,462,433,479,483
183,chair,0,410,462,850
183,couch,0,411,452,851
184,person,40,227,443,851
184,remote,223,443,280,500
184,chair,0,413,468,851
184,couch,0,413,458,851
184,remote,363,430,414,488
185,person,37,226,470,850
185,remote,220,440,276,498
185,chair,0,414,463,850
185,couch,0,415,446,851
186,person,35,225,468,850
186,remote,216,438,273,496
186,chair,0,414,459,850
187,person,33,225,471,851
187,remote,213,436,269,493
187,chair,1,415,461,851
188,person,33,228,441,851
188,remote,210,435,266,491
188,chair,0,419,469,851
189,person,30,226,470,850
189,remote,208,435,264,490
189,chair,0,417,448,851
189,cup,353,415,404,469
190,person,29,226,474,850
190,remote,206,435,262,491
190,chair,0,418,426,851
191,person,29,229,471,851
191,remote,205,437,261,492
191,chair,0,419,438,851
192,person,28,229,468,851
192,remote,206,440,261,496
192,chair,0,419,427,851
193,person,26,229,463,850
193,remote,209,445,262,505
193,chair,0,423,458,851
194,person,25,232,467,851
194,remote,214,451,268,511
194,chair,1,420,425,851
195,person,22,231,471,850
195,remote,219,458,266,521
195,cup,345,417,395,467
195,chair,1,420,431,850
196,person,21,233,473,850
196,remote,222,465,268,529
196,cup,344,419,393,468
196,hair drier,217,284,361,352
197,person,21,236,473,851
197,remote,223,470,268,532
197,cup,344,422,393,470
197,hair drier,217,287,359,352
198,person,21,237,471,851
198,remote,224,475,268,537
198,cup,344,424,393,474
198,chair,0,422,445,850
198,hair drier,215,291,357,352
199,person,22,238,474,850
199,remote,224,477,269,540
199,cup,344,427,392,476
200,person,23,241,474,851
200,remote,226,478,270,541
200,cup,343,429,389,478
200,hair drier,212,293,351,354
201,person,25,244,474,851
201,remote,228,478,271,541
201,cup,341,430,387,479
201,remote,341,430,387,479
202,person,25,244,473,851
202,remote,229,479,272,541
202,remote,339,431,385,478
202,chair,0,430,472,851
203,person,26,246,472,850
203,remote,231,478,274,541
203,cup,337,431,383,479
203,chair,0,425,474,850
203,remote,337,431,383,479
204,person,27,248,464,851
204,remote,233,478,276,541
204,remote,335,431,381,478
204,chair,0,430,474,851
205,person,27,248,474,850
205,remote,234,478,277,540
205,cup,333,430,378,478
205,hair drier,201,299,341,360
206,person,28,248,473,851
206,remote,235,478,279,539
206,cup,330,430,375,477
206,chair,0,427,473,850
206,remote,330,430,376,477
207,person,30,249,473,850
207,remote,237,478,280,537
207,cup,328,429,372,478
207,chair,0,427,473,850
208,person,31,250,474,851
208,remote,237,478,280,537
208,cup,325,430,371,477
